Pore Volume (cm³/g),Elongation At Break (%)
10.688441952115731,1.9795576285278593,
11.897924763033455,1.960442562321484,
18.106523983491016,1.7894760339978144,
19.682532184413667,1.7647057251712588,
10.688441952115731,5.788225237295121,
11.897924763033455,11.016191210129277,
18.106523983491016,112.67736199027294,
19.682532184413667,577.2290127532898,
10.688441952115731,39.354788090818985,
11.897924763033455,51.057460389312816,
18.106523983491016,734.355259122037,
19.682532184413667,-186.7288498008947,
