Annealing Temperature (°C),Flexural Modulus (GPa)
2,4.724099560753216,
5,4.396503643657841,
7,4.401467290783805,
11,4.175550210875272,
16,4.009514956903355,
19,3.9536846587944727,
2,-6.173535941984403,
5,-6.666766894095018,
7,-6.73435138569285,
11,-6.8205847981016,
16,-6.849891349315192,
19,-6.854413873222844,
2,7.781885240749073,
5,7.625335019894852,
7,7.532957015330442,
11,7.44776572206536,
16,7.417876799377474,
19,7.413395784386131,
2,-3.2259087971680076,
5,-3.520997524150717,
7,-3.6035600720370304,
11,-3.729043415270309,
16,-3.895166428127923,
19,-3.938921752917984,
