Pore Volume (cm³/g),Kinematic Viscosity (mm²/s)
4.669064119222252,-5.903305800265358,0.95% Poly(acrylonitrile)
9.659240562548245,-6.211993058035605,0.95% Poly(acrylonitrile)
12.871525217900457,-6.318474459963287,0.95% Poly(acrylonitrile)
18.00976111834659,-6.400269964076443,0.95% Poly(acrylonitrile)
18.423018741058595,-6.409526680736912,0.95% Poly(acrylonitrile)
4.669064119222252,1.616002834129689,0.88% Poly(acrylonitrile)
9.659240562548245,1.1231264478362464,0.88% Poly(acrylonitrile)
12.871525217900457,1.7644874535549153,0.88% Poly(acrylonitrile)
18.00976111834659,15.34834392318013,0.88% Poly(acrylonitrile)
18.423018741058595,7.392826425286289,0.88% Poly(acrylonitrile)
4.669064119222252,-1.9576673844734973,0.11% Poly(acrylonitrile)
9.659240562548245,-2.210138615737758,0.11% Poly(acrylonitrile)
12.871525217900457,-2.3159808235239407,0.11% Poly(acrylonitrile)
18.00976111834659,-2.45353636270753,0.11% Poly(acrylonitrile)
18.423018741058595,-2.4565755617591933,0.11% Poly(acrylonitrile)
4.669064119222252,1.5215993009590632,0.28% Poly(acrylonitrile)
9.659240562548245,25.70548770457389,0.28% Poly(acrylonitrile)
12.871525217900457,62.07894927852018,0.28% Poly(acrylonitrile)
18.00976111834659,379.86541304055737,0.28% Poly(acrylonitrile)
18.423018741058595,-370.9834432145476,0.28% Poly(acrylonitrile)
