Time (s),Corrosion Rate (mm/year)
1.0717781352780387,-0.5047637245849198,PMMA-PnBA
1.4430769990894543,-0.5065156764137803,PMMA-PnBA
3.3571018096181193,-0.6892938872886136,PMMA-PnBA
4.072211625749378,-0.6556448424910268,PMMA-PnBA
10.155048730611817,-0.926340039185596,PMMA-PnBA
10.920021896676463,7.119388042462248,PVB
12.205741732135937,1.525953845140993,PVB
15.418530163964729,10.312253377708064,PVB
18.611632685144656,12.447031704557473,PVB
19.402459317201046,18.27552665256701,PVB
0.44155026238823947,-1.0203989627727679,S-EB-S
3.2546728106797063,-1.729383820779244,S-EB-S
10.39449694727507,-1.9760358046623256,S-EB-S
14.419761532053801,-2.0089124349528293,S-EB-S
15.647192450654288,-2.012970356071952,S-EB-S
7.136688533523889,0.20426664629441205,DGEBF Epoxy Resin
8.22993184348091,0.2156469881205308,DGEBF Epoxy Resin
13.236877345702583,0.006158523332238319,DGEBF Epoxy Resin
13.375195493166888,0.03289773881495389,DGEBF Epoxy Resin
15.859784018309375,-0.04215548711740802,DGEBF Epoxy Resin
0.4518346037152332,6.458342222262687,Poly(styrene-b-butadiene)
4.091197248202818,6.072001669083769,Poly(styrene-b-butadiene)
5.576244915127577,5.868411425707431,Poly(styrene-b-butadiene)
7.112996039833681,5.906516394094144,Poly(styrene-b-butadiene)
17.199814218816613,5.58766056127033,Poly(styrene-b-butadiene)
