Time (s),Thermal Diffusivity (mm²/s)
5.223685511175931,0.2438364830060193,0.14% magnesium oxide/TGPAP
12.406122727348718,0.048240048963775095,0.14% magnesium oxide/TGPAP
14.079229304709308,0.04078505316786482,0.14% magnesium oxide/TGPAP
15.19004504164844,0.03598240166946935,0.14% magnesium oxide/TGPAP
17.59612119709508,0.030940988282486044,0.14% magnesium oxide/TGPAP
5.223685511175931,15.203388120629814,0.03% magnesium oxide/TGPAP
12.406122727348718,0.17459297188027278,0.03% magnesium oxide/TGPAP
14.079229304709308,41.56327071513006,0.03% magnesium oxide/TGPAP
15.19004504164844,-46.968634711036664,0.03% magnesium oxide/TGPAP
17.59612119709508,210.80958479439659,0.03% magnesium oxide/TGPAP
5.223685511175931,0.590193397306288,0.39% magnesium oxide/TGPAP
12.406122727348718,0.26417918938753404,0.39% magnesium oxide/TGPAP
14.079229304709308,0.18833869986253474,0.39% magnesium oxide/TGPAP
15.19004504164844,0.17376857469746324,0.39% magnesium oxide/TGPAP
17.59612119709508,0.13947391791559413,0.39% magnesium oxide/TGPAP
