UV Exposure Time (h),Tan Delta
1.7617673383720023,-4.0741659127128855,Poly(2-vinyl pyridine)
5.2008473793461185,-4.489817822299101,Poly(2-vinyl pyridine)
14.067331626131576,-4.659498520745899,Poly(2-vinyl pyridine)
1.7617673383720023,3.7076667105662473,PHEA
5.2008473793461185,3.920723365916084,PHEA
14.067331626131576,3.565067615339588,PHEA
1.7617673383720023,-4.0056681056018295,PBTP
5.2008473793461185,-3.6768280728306912,PBTP
14.067331626131576,-5.931128191674786,PBTP
1.7617673383720023,-6.299570946694536,Nylon 11
5.2008473793461185,-6.474858474365156,Nylon 11
14.067331626131576,-5.377310190921431,Nylon 11
