Surfactant Concentration (M),Young’s Modulus (GPa)
8,11.69240202667597,0.76% magnesium oxide/PVC
13,10.058924516103815,0.76% magnesium oxide/PVC
18,204.395751370244,0.76% magnesium oxide/PVC
19,472.9046352682944,0.76% magnesium oxide/PVC
1,6.3841958297613886,0.02% magnesium oxide/PVC
7,7.283218252774313,0.02% magnesium oxide/PVC
15,14.358960608799803,0.02% magnesium oxide/PVC
16,18.597641800093392,0.02% magnesium oxide/PVC
9,-2.349694944664232,0.71% magnesium oxide/PVC
10,0.66046780566578,0.71% magnesium oxide/PVC
14,-2.5710728858012963,0.71% magnesium oxide/PVC
17,3.1463970773495618,0.71% magnesium oxide/PVC
3.2429191284431846,2.943511671598082,0.25% magnesium oxide/PVC
10.58698297392225,2.63669185105513,0.25% magnesium oxide/PVC
17.284076485541945,2.599909382751066,0.25% magnesium oxide/PVC
19.11301618726856,2.5976468660018432,0.25% magnesium oxide/PVC
1,-5.547386669270895,0.21% magnesium oxide/PVC
11,-6.267884885254771,0.21% magnesium oxide/PVC
15,-6.293944867454221,0.21% magnesium oxide/PVC
19,-6.300633869541157,0.21% magnesium oxide/PVC
