Specific Surface Area (m²/g),Magnetic Permeability (H/m)
3,-4.400794937546248,Bentonite clay/S-EB-S
4,-4.402348438019183,Bentonite clay/S-EB-S
8,-4.7048810166408135,Bentonite clay/S-EB-S
12,-4.794262503600123,Bentonite clay/S-EB-S
13,-4.808058736116445,Bentonite clay/S-EB-S
3,8.330268035294193,Calcium Carbonate/S-EB-S
4,10.583896044847219,Calcium Carbonate/S-EB-S
8,18.39119929666468,Calcium Carbonate/S-EB-S
12,21.297193067332195,Calcium Carbonate/S-EB-S
13,106.25031438739653,Calcium Carbonate/S-EB-S
3,-4.7915350607088945,Polyaniline/S-EB-S
4,-5.5843757544701695,Polyaniline/S-EB-S
8,-5.02631269697372,Polyaniline/S-EB-S
12,-1.8812101354661284,Polyaniline/S-EB-S
13,-0.5366975272427794,Polyaniline/S-EB-S
3,0.43097892051714437,Graphene/S-EB-S
4,1.4478751876405065,Graphene/S-EB-S
8,8.412216336063366,Graphene/S-EB-S
12,19.032280472806423,Graphene/S-EB-S
13,35.29945155029655,Graphene/S-EB-S
