Gamma Radiation Dose (Gy),Shear Viscosity (Pa·s)
4,6.214564385504473,
13,6.813816089143826,
14,7.764059447877025,
16,12.212363149850036,
17,17.40148635286762,
4,-0.40450246403607215,
13,11.270440417623346,
14,194.03978792987948,
16,213.6238317072097,
17,-22.866994501495874,
4,4.208601156902528,
13,88.38831979768337,
14,-34.34825927056802,
16,131.5846820916341,
17,90.21671052002952,
4,-2.3321420008321287,
13,2.0965206338845572,
14,0.7022664248821711,
16,0.2261804030236929,
17,-0.09501836655346452,
4,0.9234680763411189,
13,96.93088858763917,
14,56.23163987479839,
16,207.97666799431252,
17,150.4012748839227,
