Hardness (HV),Specific Viscosity
0.32804094328501954,7.672314566870799,0.3% multi-walled CNT
4.152124516838427,10.621878029115525,0.3% multi-walled CNT
10.637995880306555,18.272416820197968,0.3% multi-walled CNT
11.32464159416919,31.37010109030911,0.3% multi-walled CNT
13.94245322137775,125.48694988029033,0.3% multi-walled CNT
0.32804094328501954,2.3164866939678874,0.86% multi-walled CNT
4.152124516838427,2.1974463358118106,0.86% multi-walled CNT
10.637995880306555,1.9236022844860368,0.86% multi-walled CNT
11.32464159416919,1.9053215700112027,0.86% multi-walled CNT
13.94245322137775,1.7797836647643028,0.86% multi-walled CNT
0.32804094328501954,4.146059452138864,0.51% multi-walled CNT
4.152124516838427,6.51081234918855,0.51% multi-walled CNT
10.637995880306555,30.682596191398762,0.51% multi-walled CNT
11.32464159416919,2.429334037524452,0.51% multi-walled CNT
13.94245322137775,150.45323895895217,0.51% multi-walled CNT
0.32804094328501954,-6.513366120260711,0.38% multi-walled CNT
4.152124516838427,-5.394219157095817,0.38% multi-walled CNT
10.637995880306555,15.566664668551129,0.38% multi-walled CNT
11.32464159416919,48.230022820328365,0.38% multi-walled CNT
13.94245322137775,152.92258140358308,0.38% multi-walled CNT
