Elongation At Break (%),Elongation At Break (%)
3,-1.6537167313837688,talc/PαMS
5,-1.7155910335693967,talc/PαMS
8,-1.8983413088286318,talc/PαMS
19,-2.1687845891757545,talc/PαMS
3,7.070348334409674,Graphite/PαMS
5,9.53773770502796,Graphite/PαMS
8,22.950527091632768,Graphite/PαMS
19,300.49973755678604,Graphite/PαMS
3,-0.3795060541425821,silica nanoparticles/PαMS
5,0.07056898097605302,silica nanoparticles/PαMS
8,2.2151182327524124,silica nanoparticles/PαMS
19,-56.32459304054212,silica nanoparticles/PαMS
