wt%,Hysteresis Loss (J/m³)
1,-1.8931154123454237,Zinc Oxide/PUR
6,3.1741222683982713,Zinc Oxide/PUR
8,1.9977527740512144,Zinc Oxide/PUR
9,24.671164849573785,Zinc Oxide/PUR
0,6.856988319297192,octyldimethylmethoxysilane/PUR
2,7.085731714777984,octyldimethylmethoxysilane/PUR
5,7.849458988659089,octyldimethylmethoxysilane/PUR
13,10.218471956183683,octyldimethylmethoxysilane/PUR
2,5.508501941550287,Fluorine mica/PUR
10,5.057777880268516,Fluorine mica/PUR
18,4.881833432550593,Fluorine mica/PUR
19,4.871784109737476,Fluorine mica/PUR
3,4.315550332632201,Organophilic clay/PUR
4,4.384889213053692,Organophilic clay/PUR
5,4.325773062462024,Organophilic clay/PUR
7,4.139488944462175,Organophilic clay/PUR
