Ion Beam Dose (Gy),Dielectric Breakdown Strength (MV/m)
1,2.113768184810743,
5,1.3199193197743138,
9,1.2000308110519045,
12,1.158655205209776,
13,1.1513836726620934,
2.7935424895285976,-2.393098304030799,
7.322496694004428,-2.838166830302946,
7.722670291518283,-2.8497039613919486,
13.875635523487901,-3.0121169658890943,
16.924425428726625,-3.0732827525237347,
3,3.5990515517433503,
6,1.7092059893798393,
9,18.399211598671457,
12,63.93806280136846,
16,-13.51730115823437,
1,-1.1732714823684351,
5,-1.787930085854202,
8,-1.9513639418620712,
15,-2.0299388670255643,
18,-2.0370278875253764,
0,-4.206723562853275,
1,-4.516772321760797,
2,-4.845066001573115,
5,-4.964386604002877,
14,-5.3112441690023,
