Particle Diameter (nm),Toughness (MJ/m³)
4.828409216718741,3.3569694432765282,0.92% MMT/Poly(vinyl chloride)
7.727516580120836,2.2482782873110354,0.92% MMT/Poly(vinyl chloride)
17.01726626749601,5.299022942640685,0.92% MMT/Poly(vinyl chloride)
4.828409216718741,12.219923898841396,0.76% MMT/Poly(vinyl chloride)
7.727516580120836,20.72125544087495,0.76% MMT/Poly(vinyl chloride)
17.01726626749601,191.34062490784288,0.76% MMT/Poly(vinyl chloride)
4.828409216718741,-4.273679050274838,0.33% MMT/Poly(vinyl chloride)
7.727516580120836,-4.518286579515952,0.33% MMT/Poly(vinyl chloride)
17.01726626749601,-4.756313307175025,0.33% MMT/Poly(vinyl chloride)
4.828409216718741,-5.6944621413613845,0.88% MMT/Poly(vinyl chloride)
7.727516580120836,-4.594595263896008,0.88% MMT/Poly(vinyl chloride)
17.01726626749601,3.2123463518144657,0.88% MMT/Poly(vinyl chloride)
