Curing Time (min),Young’s Modulus (GPa)
4,3.8131929940196487,0.1% FeO
8,4.492373547099339,0.1% FeO
13,9.240561579313582,0.1% FeO
4,-0.37779102182484603,0.96% FeO
8,-0.5707110578814123,0.96% FeO
13,-0.7791129555102878,0.96% FeO
4,7.347925948278702,0.59% FeO
8,6.824920098690766,0.59% FeO
13,11.659830125337814,0.59% FeO
4,6.05585877685307,0.74% FeO
8,12.790908765336342,0.74% FeO
13,51.708792680638986,0.74% FeO
4,-5.426521434378472,0.79% FeO
8,-4.359714451099486,0.79% FeO
13,-1.1873616710168768,0.79% FeO
