Tensile Strength (MPa),Hysteresis Loss (J/m³)
5.060652534843109,8.18506493275301,Poly(hexafluoro propylene)
7.496473938397886,8.053442000570344,Poly(hexafluoro propylene)
13.249470423148226,7.984548968325368,Poly(hexafluoro propylene)
15.218664189728335,7.975001886351678,Poly(hexafluoro propylene)
17.08677733446073,7.970420628439974,Poly(hexafluoro propylene)
5.060652534843109,-3.618066199112532,Poly(glycidyl methacrylate)
7.496473938397886,-3.765366726102239,Poly(glycidyl methacrylate)
13.249470423148226,-3.9735966036079318,Poly(glycidyl methacrylate)
15.218664189728335,-4.035373260327561,Poly(glycidyl methacrylate)
17.08677733446073,-4.077386221222653,Poly(glycidyl methacrylate)
5.060652534843109,-0.20898823472077765,PMS
7.496473938397886,5.115650281033696,PMS
13.249470423148226,103.4785498376376,PMS
15.218664189728335,237.22123736313068,PMS
17.08677733446073,402.31079111045665,PMS
5.060652534843109,-2.6430282159899035,Cyclic olefin copolymer
7.496473938397886,-2.7408386589379496,Cyclic olefin copolymer
13.249470423148226,-2.944604622938839,Cyclic olefin copolymer
15.218664189728335,-3.023518940735819,Cyclic olefin copolymer
17.08677733446073,-3.052720368193459,Cyclic olefin copolymer
