pH,Shear Modulus (GPa)
8.903383480502074,14.12034220808314,0.25% Magnesium oxide
10.840901232129914,26.269511326692296,0.25% Magnesium oxide
12.11284123007443,61.74581622835515,0.25% Magnesium oxide
14.602148781735364,73.53258749966729,0.25% Magnesium oxide
19.818860620639885,1189.3953238212237,0.25% Magnesium oxide
8.903383480502074,13.01481223717927,0.72% Magnesium oxide
10.840901232129914,27.10008269714347,0.72% Magnesium oxide
12.11284123007443,20.088946404171722,0.72% Magnesium oxide
14.602148781735364,57.11286506066763,0.72% Magnesium oxide
19.818860620639885,917.5505155156186,0.72% Magnesium oxide
