Pore Size (nm),Remanence (A/m)
2,1.0255337476615618,0.72% Colloidal silica/PCTFE
13,0.19685219382571767,0.72% Colloidal silica/PCTFE
18,0.09296922976184674,0.72% Colloidal silica/PCTFE
2,-4.41976419280761,0.56% Colloidal silica/PCTFE
13,-6.18974034399527,0.56% Colloidal silica/PCTFE
18,0.4825066494325645,0.56% Colloidal silica/PCTFE
2,7.50261112880597,0.42% Colloidal silica/PCTFE
13,6.899542159482865,0.42% Colloidal silica/PCTFE
18,6.882610380611959,0.42% Colloidal silica/PCTFE
2,-2.767167507945944,0.47% Colloidal silica/PCTFE
13,-3.506707582992651,0.47% Colloidal silica/PCTFE
18,-3.6064756783042227,0.47% Colloidal silica/PCTFE
