Thickness (µm),Zero-shear Viscosity (Pa·s)
8,2.7618738071397155,0.86% titanium dioxide
10,2.7105078051521034,0.86% titanium dioxide
11,2.631784591286153,0.86% titanium dioxide
12,2.626330154105338,0.86% titanium dioxide
16,2.5191200969653917,0.86% titanium dioxide
8,4.541437841760335,0.47% titanium dioxide
10,2.216212549650855,0.47% titanium dioxide
11,24.34656586250176,0.47% titanium dioxide
12,6.207584689804563,0.47% titanium dioxide
16,123.14627799932632,0.47% titanium dioxide
8,9.37499118091702,0.13% titanium dioxide
10,11.391392994896954,0.13% titanium dioxide
11,9.0191577161887,0.13% titanium dioxide
12,10.907257374164615,0.13% titanium dioxide
16,7.862832347050965,0.13% titanium dioxide
8,7.190380139181367,0.6% titanium dioxide
10,7.143511038561773,0.6% titanium dioxide
11,7.1294898577225885,0.6% titanium dioxide
12,7.118192530264024,0.6% titanium dioxide
16,7.0993754286222295,0.6% titanium dioxide
8,21.78840947418842,0.71% titanium dioxide
10,45.15519057744346,0.71% titanium dioxide
11,24.374274821443308,0.71% titanium dioxide
12,37.56895266506267,0.71% titanium dioxide
16,295.4537090022722,0.71% titanium dioxide
