Particle Density,Magnetic Permeability (H/m)
9.767154523605088,1.4032965181264296,0.56% cellulose nanocrystals
17.34185326793996,1.360484318153075,0.56% cellulose nanocrystals
18.062539824153234,1.3595359371575113,0.56% cellulose nanocrystals
18.92091083054592,1.3584615147127677,0.56% cellulose nanocrystals
9.767154523605088,-4.355034189502936,0.2% cellulose nanocrystals
17.34185326793996,-4.117578157259089,0.2% cellulose nanocrystals
18.062539824153234,-0.030619269457853093,0.2% cellulose nanocrystals
18.92091083054592,-11.781587245280893,0.2% cellulose nanocrystals
9.767154523605088,-1.8634144097356178,0.23% cellulose nanocrystals
17.34185326793996,-1.9103965031773635,0.23% cellulose nanocrystals
18.062539824153234,-1.9112634955094385,0.23% cellulose nanocrystals
18.92091083054592,-1.9123006095665198,0.23% cellulose nanocrystals
9.767154523605088,-7.839004986186685,0.11% cellulose nanocrystals
17.34185326793996,-7.893979697480331,0.11% cellulose nanocrystals
18.062539824153234,-7.89465662154914,0.11% cellulose nanocrystals
18.92091083054592,-7.8955500725593755,0.11% cellulose nanocrystals
9.767154523605088,-1.5197620475456306,0.01% cellulose nanocrystals
17.34185326793996,-2.308202397178931,0.01% cellulose nanocrystals
18.062539824153234,-5.806223213746701,0.01% cellulose nanocrystals
18.92091083054592,-4.696088333957361,0.01% cellulose nanocrystals
