Aging Time (h),Fatigue Strength (MPa)
8,6.258485237101676,0.93% Cu(HO3PC6H5)2
13,6.196210070423625,0.93% Cu(HO3PC6H5)2
16,6.183809102911791,0.93% Cu(HO3PC6H5)2
18,6.180337033913524,0.93% Cu(HO3PC6H5)2
8,5.285655822436514,0.87% Cu(HO3PC6H5)2
13,5.21249928303237,0.87% Cu(HO3PC6H5)2
16,5.201892931070215,0.87% Cu(HO3PC6H5)2
18,5.197929590053583,0.87% Cu(HO3PC6H5)2
8,9.731822640926474,0.36% Cu(HO3PC6H5)2
13,8.41643063858478,0.36% Cu(HO3PC6H5)2
16,14.184404934251651,0.36% Cu(HO3PC6H5)2
18,9.238340338904175,0.36% Cu(HO3PC6H5)2
