Aging Temperature (°C),Decomposition Temperature (°C)
10,-5.490893122515145,0.74% ZrO2/Nylon 12
12,-5.520868133034726,0.74% ZrO2/Nylon 12
13,-5.543524567591088,0.74% ZrO2/Nylon 12
18,-5.663683952291741,0.74% ZrO2/Nylon 12
10,9.6541692945042,0.91% ZrO2/Nylon 12
12,10.115048570883552,0.91% ZrO2/Nylon 12
13,12.530924970909158,0.91% ZrO2/Nylon 12
18,-1.3184611332807519,0.91% ZrO2/Nylon 12
10,1.4090426620331793,0.54% ZrO2/Nylon 12
12,1.3817274702288798,0.54% ZrO2/Nylon 12
13,1.3745254000062004,0.54% ZrO2/Nylon 12
18,1.3576884382057188,0.54% ZrO2/Nylon 12
10,7.125019818212419,0.93% ZrO2/Nylon 12
12,7.103033726169832,0.93% ZrO2/Nylon 12
13,7.09601838020652,0.93% ZrO2/Nylon 12
18,7.078579018149562,0.93% ZrO2/Nylon 12
