Temperature (°C),Magnetic Permeability (H/m)
1,3.7208428845293153,0.74% silver/Poly(benzoxazine)
4,3.5478809527642956,0.74% silver/Poly(benzoxazine)
5,3.3644679263098314,0.74% silver/Poly(benzoxazine)
9,3.281491061107772,0.74% silver/Poly(benzoxazine)
17,3.0408639407885083,0.74% silver/Poly(benzoxazine)
4.005972822982573,-3.0663561196920717,0.06% silver/Poly(benzoxazine)
5.730299423982261,-3.256575333340415,0.06% silver/Poly(benzoxazine)
7.430988852957463,-3.254742504407777,0.06% silver/Poly(benzoxazine)
12.127248338434898,-3.501928932370343,0.06% silver/Poly(benzoxazine)
16.682877446412327,-3.61309924469177,0.06% silver/Poly(benzoxazine)
0,7.952723211130227,0.36% silver/Poly(benzoxazine)
2,7.2476358179381535,0.36% silver/Poly(benzoxazine)
6,6.940895516097751,0.36% silver/Poly(benzoxazine)
14,6.796807362806458,0.36% silver/Poly(benzoxazine)
17,6.787264560469209,0.36% silver/Poly(benzoxazine)
1.4061705303611483,6.652784320495158,0.93% silver/Poly(benzoxazine)
5.227877233935729,6.271449638030877,0.93% silver/Poly(benzoxazine)
13.64698281079441,6.105235455111182,0.93% silver/Poly(benzoxazine)
14.822037143896548,6.099675713796473,0.93% silver/Poly(benzoxazine)
18.3209570397413,6.092463060710703,0.93% silver/Poly(benzoxazine)
