Thermal Conductivity (W/(m·K)),Dielectric Breakdown Strength (MV/m)
4.580482680661007,-4.6368767826075885,0.11% MMT/Poly(methyl acrylate)
8.763202560664089,-5.374508723770505,0.11% MMT/Poly(methyl acrylate)
11.031544192709294,-2.582710110084944,0.11% MMT/Poly(methyl acrylate)
14.083216513868468,-0.699061019478405,0.11% MMT/Poly(methyl acrylate)
16.85902635764356,-6.319295270780263,0.11% MMT/Poly(methyl acrylate)
4.580482680661007,-2.076012600286711,0.59% MMT/Poly(methyl acrylate)
8.763202560664089,-2.175580475814879,0.59% MMT/Poly(methyl acrylate)
11.031544192709294,-2.2211971531189514,0.59% MMT/Poly(methyl acrylate)
14.083216513868468,-2.2417908440058976,0.59% MMT/Poly(methyl acrylate)
16.85902635764356,-2.2499179189346976,0.59% MMT/Poly(methyl acrylate)
4.580482680661007,-2.2936130173489095,0.33% MMT/Poly(methyl acrylate)
8.763202560664089,-2.2474490578135184,0.33% MMT/Poly(methyl acrylate)
11.031544192709294,-1.4969605092186318,0.33% MMT/Poly(methyl acrylate)
14.083216513868468,-3.1417310834962877,0.33% MMT/Poly(methyl acrylate)
16.85902635764356,5.599177394091345,0.33% MMT/Poly(methyl acrylate)
4.580482680661007,2.7818399744715516,0.57% MMT/Poly(methyl acrylate)
8.763202560664089,2.5810843877642617,0.57% MMT/Poly(methyl acrylate)
11.031544192709294,2.5458025967106725,0.57% MMT/Poly(methyl acrylate)
14.083216513868468,2.521501484992166,0.57% MMT/Poly(methyl acrylate)
16.85902635764356,2.512958360937699,0.57% MMT/Poly(methyl acrylate)
4.580482680661007,6.663950489415422,0.56% MMT/Poly(methyl acrylate)
8.763202560664089,24.5551592526088,0.56% MMT/Poly(methyl acrylate)
11.031544192709294,32.318549689951745,0.56% MMT/Poly(methyl acrylate)
14.083216513868468,86.01085878318172,0.56% MMT/Poly(methyl acrylate)
16.85902635764356,286.6551170806975,0.56% MMT/Poly(methyl acrylate)
