Calcination Time (h),Viscosity (Pa·s)
11,1.3833977222460139,PHFP
13,1.295078462488632,PHFP
14,1.2750648579605228,PHFP
18,1.1785678579167629,PHFP
11,7.660579667468019,Nylon 66
13,7.574441508677931,Nylon 66
14,7.538381592509447,Nylon 66
18,7.462514641495178,Nylon 66
11,35.472249188549725,PMMA
13,77.3157201126247,PMMA
14,133.91232147003976,PMMA
18,109.2105507019621,PMMA
11,-1.9623482167063342,Poly(vinyl butyral)
13,0.7734552280187135,Poly(vinyl butyral)
14,6.113732606335672,Poly(vinyl butyral)
18,9.864821488744216,Poly(vinyl butyral)
11,-2.517181320509205,PVAC
13,-0.6614341877545487,PVAC
14,1.4945219378886723,PVAC
18,2.965889354113762,PVAC
