Loading Concentration (%),Modulus Of Elasticity (GPa)
1.615500805884782,9.144916116879049,
2.65148763765942,9.700762979755087,
2.9390204612036697,9.953963148307244,
14.54190529632778,4.981563775905645,
14.79643602762562,75.82111203450535,
17.142258134318546,-24.182435043594307,
1.615500805884782,8.03332602531972,
2.65148763765942,8.046221034477334,
2.9390204612036697,8.068352362351515,
14.54190529632778,3.1773980077649115,
14.79643602762562,13.927673135742797,
17.142258134318546,13.15947337041019,
1.615500805884782,-1.9434582542419236,
2.65148763765942,-2.9837897591417777,
2.9390204612036697,-2.1842021764431774,
14.54190529632778,159.84040096983796,
14.79643602762562,82.92341323865061,
17.142258134318546,257.8623042903513,
