Incubation Temperature (°C),Glass Transition Temperature (°C)
1.5578373309018856,-5.238859634491192,
3.636765433789948,-5.412204682885785,
4.586456798431275,-4.516908755799121,
8.219601075141034,-4.987894079916442,
13.896792102990457,-3.299666006690585,
1.5578373309018856,-0.9345066898208211,
3.636765433789948,-1.3053526729632394,
4.586456798431275,-1.3452090941016193,
8.219601075141034,-1.484132255390859,
13.896792102990457,-1.5672362237189956,
1.5578373309018856,-4.864491476644898,
3.636765433789948,-4.638427529504122,
4.586456798431275,-3.1875239270711386,
8.219601075141034,-3.509465174481318,
13.896792102990457,0.9731909973639112,
