Thermal Conductivity (W/(m·K)),Tg (°C)
0,-4.00351968603098,P(VDF-TrFE)
7,-5.057593892864113,P(VDF-TrFE)
10,-5.1173816317813206,P(VDF-TrFE)
15,-5.152673075048636,P(VDF-TrFE)
19,-5.160245598693651,P(VDF-TrFE)
1.0883435255575757,9.103016333647677,PBT
5.578139759251695,8.921318628471532,PBT
6.793841675804124,10.15516317517033,PBT
9.964581261513896,10.457312824722639,PBT
17.129836421315524,16.08970528198203,PBT
3,1.986939234615687,Polyrotaxane
6,3.2001578582788586,Polyrotaxane
7,3.4934490574807473,Polyrotaxane
12,6.04985094250141,Polyrotaxane
18,9.746992983750907,Polyrotaxane
