Particle Diameter (nm),Dielectric Loss
0,7.6761840539292185,SWCNTs/BPA-Ph
1,7.7675237244551205,SWCNTs/BPA-Ph
13,7.002407079353212,SWCNTs/BPA-Ph
14,6.998878691228975,SWCNTs/BPA-Ph
15,6.99599369854575,SWCNTs/BPA-Ph
0,4.123097292988684,montmorillonite/BPA-Ph
1,4.643570248599417,montmorillonite/BPA-Ph
13,58.517632707694204,montmorillonite/BPA-Ph
14,52.94539825275107,montmorillonite/BPA-Ph
15,133.22275889493287,montmorillonite/BPA-Ph
0,-3.1823882070224436,OFG/BPA-Ph
1,-3.0482418992540654,OFG/BPA-Ph
13,-3.7448926302194865,OFG/BPA-Ph
14,-3.7841633124252962,OFG/BPA-Ph
15,-3.80392183914335,OFG/BPA-Ph
0,-3.0769125054908586,montmorillonite/BPA-Ph
1,-3.5186872397852706,montmorillonite/BPA-Ph
13,-3.32534532606009,montmorillonite/BPA-Ph
14,3.2709698133350074,montmorillonite/BPA-Ph
15,2.690644237274917,montmorillonite/BPA-Ph
