Aging Time (h),Surface Area (m²/g)
0.6686843247803442,6.21081927152399,Polyimide
7.751478016356696,5.715871690652783,Polyimide
9.510385982296647,5.59778888330539,Polyimide
13.952923612601918,5.520750415488384,Polyimide
0.6686843247803442,-6.405003597290628,S-EB-S
7.751478016356696,-1.7611120338067696,S-EB-S
9.510385982296647,21.19738501739191,S-EB-S
13.952923612601918,42.92333268309763,S-EB-S
0.6686843247803442,-6.148409634914649,PBA-a
7.751478016356696,-6.7410329228477375,PBA-a
9.510385982296647,-6.903907679202039,PBA-a
13.952923612601918,-7.003805939239864,PBA-a
0.6686843247803442,4.689699945100507,Poly(hexafluoro propylene)
7.751478016356696,21.362453200173384,Poly(hexafluoro propylene)
9.510385982296647,16.859971104429448,Poly(hexafluoro propylene)
13.952923612601918,74.15093210912922,Poly(hexafluoro propylene)
