Melting Temperature (°C),Electric Field Strength (V/m)
2,-3.786982969095533,MWNT/Poly(butyl acrylate)
4,-3.7253427209538668,MWNT/Poly(butyl acrylate)
8,1.6537157563016818,MWNT/Poly(butyl acrylate)
9,8.159518029082005,MWNT/Poly(butyl acrylate)
11,6.127309845556063,MWNT/Poly(butyl acrylate)
12,-13.033261702882852,MWNT/Poly(butyl acrylate)
2,1.6317808704749295,dodecylbenzene sulfonic acid/Poly(butyl acrylate)
4,1.588586235114826,dodecylbenzene sulfonic acid/Poly(butyl acrylate)
8,2.309759612416603,dodecylbenzene sulfonic acid/Poly(butyl acrylate)
9,2.998510802289303,dodecylbenzene sulfonic acid/Poly(butyl acrylate)
11,6.196887614574558,dodecylbenzene sulfonic acid/Poly(butyl acrylate)
12,-2.934366992226476,dodecylbenzene sulfonic acid/Poly(butyl acrylate)
