Curing Temperature (°C),Tan Delta
2,6.11214177921043,Poly(2-vinyl pyridine)
3,6.028315756201499,Poly(2-vinyl pyridine)
6,5.761025348721106,Poly(2-vinyl pyridine)
2,2.638641411539509,EPDM rubber
3,3.942974099541963,EPDM rubber
6,10.178847907549793,EPDM rubber
2,-2.9358332867821586,PVAC
3,-3.1506909160842693,PVAC
6,-2.495909395550356,PVAC
2,3.386182641990266,PTrFE
3,3.2175003623550005,PTrFE
6,3.2126568913310987,PTrFE
2,8.353476805735859,PA 8
3,8.160706287179156,PA 8
6,8.068478852964736,PA 8
