Ultrasound Time (min),X-ray Diffraction Intensity
3,2.0601330838733376,0.63% Aluminium/Poly(styrene-b-butadiene)
6,1.999307829967055,0.63% Aluminium/Poly(styrene-b-butadiene)
15,1.6069571520425916,0.63% Aluminium/Poly(styrene-b-butadiene)
16,1.5525107639488973,0.63% Aluminium/Poly(styrene-b-butadiene)
3,1.5920939253025455,0.43% Aluminium/Poly(styrene-b-butadiene)
6,1.3144389945789767,0.43% Aluminium/Poly(styrene-b-butadiene)
15,1.1805949152624569,0.43% Aluminium/Poly(styrene-b-butadiene)
16,1.1786098952812587,0.43% Aluminium/Poly(styrene-b-butadiene)
3,7.130665040206408,0.4% Aluminium/Poly(styrene-b-butadiene)
6,8.291846292721335,0.4% Aluminium/Poly(styrene-b-butadiene)
15,85.06584184240323,0.4% Aluminium/Poly(styrene-b-butadiene)
16,412.098207767688,0.4% Aluminium/Poly(styrene-b-butadiene)
3,-6.977179855000207,0.79% Aluminium/Poly(styrene-b-butadiene)
6,-7.147523442906033,0.79% Aluminium/Poly(styrene-b-butadiene)
15,-7.482649585000591,0.79% Aluminium/Poly(styrene-b-butadiene)
16,-7.49657024857813,0.79% Aluminium/Poly(styrene-b-butadiene)
