Exposure Time (h),Dielectric Loss
0,5.096005526648954,9-anthracenemethanol/Poly(vinyl chloride)
8,4.185046121824897,9-anthracenemethanol/Poly(vinyl chloride)
10,4.147006997127842,9-anthracenemethanol/Poly(vinyl chloride)
13,4.11661855641912,9-anthracenemethanol/Poly(vinyl chloride)
16,4.104285606580271,9-anthracenemethanol/Poly(vinyl chloride)
17,4.102189259540905,9-anthracenemethanol/Poly(vinyl chloride)
0,-0.3138614683545038,titanium dioxide/Poly(vinyl chloride)
8,8.670689356892163,titanium dioxide/Poly(vinyl chloride)
10,7.4813181480516135,titanium dioxide/Poly(vinyl chloride)
13,-2.2238376596487814,titanium dioxide/Poly(vinyl chloride)
16,160.3567749355735,titanium dioxide/Poly(vinyl chloride)
17,362.87175585669024,titanium dioxide/Poly(vinyl chloride)
0,7.455143770214432,titania/Poly(vinyl chloride)
8,6.514723036871331,titania/Poly(vinyl chloride)
10,6.480572365876841,titania/Poly(vinyl chloride)
13,6.447701567896211,titania/Poly(vinyl chloride)
16,6.435571960449882,titania/Poly(vinyl chloride)
17,6.4339445525315035,titania/Poly(vinyl chloride)
0,1.4760523288138618,barium strontium titanate/Poly(vinyl chloride)
8,0.27971297668493555,barium strontium titanate/Poly(vinyl chloride)
10,0.2306108629714797,barium strontium titanate/Poly(vinyl chloride)
13,0.1990091238828614,barium strontium titanate/Poly(vinyl chloride)
16,0.18908005805370792,barium strontium titanate/Poly(vinyl chloride)
17,0.18705791678068606,barium strontium titanate/Poly(vinyl chloride)
