Mixing Time (min),Complex Modulus (Pa)
0.5003755819363898,-5.663729290214031,0.73% White mineral oil
0.5256763588492497,-6.23853928203645,0.73% White mineral oil
18.732789629225085,-6.61354223425339,0.73% White mineral oil
0.5003755819363898,-0.5956354873462586,0.55% White mineral oil
0.5256763588492497,-1.0284834588486464,0.55% White mineral oil
18.732789629225085,139.71693895806587,0.55% White mineral oil
0.5003755819363898,8.179918593898112,0.19% White mineral oil
0.5256763588492497,8.078299973701288,0.19% White mineral oil
18.732789629225085,283.68604685543954,0.19% White mineral oil
0.5003755819363898,-4.772162114121601,0.19% White mineral oil
0.5256763588492497,-4.687407994709379,0.19% White mineral oil
18.732789629225085,-5.456891825486232,0.19% White mineral oil
