Gamma Radiation Dose (Gy),Porosity (%)
8.028000214553202,8.911341192513621,MoS2/PMMA-PtBA
10.918063035677088,46.7002642168027,MoS2/PMMA-PtBA
15.751532230299137,63.13069976386607,MoS2/PMMA-PtBA
8.028000214553202,-3.879581991482178,Copper(II) phenyl phosphate/PMMA-PtBA
10.918063035677088,-3.9405259333564735,Copper(II) phenyl phosphate/PMMA-PtBA
15.751532230299137,-3.9710655118240927,Copper(II) phenyl phosphate/PMMA-PtBA
8.028000214553202,-0.35890663561506264,multi-walled CNTs/PMMA-PtBA
10.918063035677088,-0.41588197331486354,multi-walled CNTs/PMMA-PtBA
15.751532230299137,-0.44653475527098174,multi-walled CNTs/PMMA-PtBA
8.028000214553202,4.2465187999986,graphite oxide/PMMA-PtBA
10.918063035677088,3.4538053073651147,graphite oxide/PMMA-PtBA
15.751532230299137,9.837697569980516,graphite oxide/PMMA-PtBA
8.028000214553202,21.2358633340595,Synthetic fluorine mica/PMMA-PtBA
10.918063035677088,32.04059336667064,Synthetic fluorine mica/PMMA-PtBA
15.751532230299137,300.32528555666136,Synthetic fluorine mica/PMMA-PtBA
