Crosslinking Density (mol/m³),Modulus Of Elasticity (GPa)
2,-4.802455019646335,0.63% Single-wall carbon nanotubes
7,1.04112803535629,0.63% Single-wall carbon nanotubes
10,12.954840308163933,0.63% Single-wall carbon nanotubes
15,157.86321313572515,0.63% Single-wall carbon nanotubes
2,6.1758545072272835,0.29% Single-wall carbon nanotubes
7,7.6384785372317925,0.29% Single-wall carbon nanotubes
10,8.682389398441613,0.29% Single-wall carbon nanotubes
15,14.387069489631477,0.29% Single-wall carbon nanotubes
2,-2.7046812344070723,0.89% Single-wall carbon nanotubes
7,-3.115528831331096,0.89% Single-wall carbon nanotubes
10,-0.05141828339681398,0.89% Single-wall carbon nanotubes
15,6.5850358048464575,0.89% Single-wall carbon nanotubes
2,7.494615424565957,0.44% Single-wall carbon nanotubes
7,8.76612565777796,0.44% Single-wall carbon nanotubes
10,7.921767289256181,0.44% Single-wall carbon nanotubes
15,12.250335320250194,0.44% Single-wall carbon nanotubes
