Stirring Speed (rpm),Shear Modulus (GPa)
6,-3.2194451435905616,
11,-3.475791792671071,
16,-3.5875829243633297,
17,-3.633362942852267,
6,0.7865672330782456,
11,0.6730064120183537,
16,0.6447210381920343,
17,0.642983345051868,
6,1.4805275765184245,
11,0.09322591651370549,
16,-5.852673465323949,
17,-2.7797648873664222,
6,7.540976843708689,
11,7.308064371872751,
16,7.1555728660295985,
17,7.151287525077463,
6,5.8744849577807905,
11,33.775755511112386,
16,-5.156808710565459,
17,197.80939163763333,
