X-ray Dose (Gy),Tensile Strength (MPa)
0.42238862169613034,-2.5931169240077696,0.16% Calcium copper titanate/Poly(vinyl alcohol)
5.797470393568052,-3.3920720222927985,0.16% Calcium copper titanate/Poly(vinyl alcohol)
9.77166209194359,-3.497647444261498,0.16% Calcium copper titanate/Poly(vinyl alcohol)
12.052528507317463,-3.519839676492101,0.16% Calcium copper titanate/Poly(vinyl alcohol)
12.65162456783948,-3.5224783106894315,0.16% Calcium copper titanate/Poly(vinyl alcohol)
16.36003691862719,-3.5386006759032345,0.16% Calcium copper titanate/Poly(vinyl alcohol)
0.42238862169613034,-2.026583872749152,0.7% Calcium copper titanate/Poly(vinyl alcohol)
5.797470393568052,-0.6637819792346882,0.7% Calcium copper titanate/Poly(vinyl alcohol)
9.77166209194359,0.42749447539850305,0.7% Calcium copper titanate/Poly(vinyl alcohol)
12.052528507317463,-0.7394164760946778,0.7% Calcium copper titanate/Poly(vinyl alcohol)
12.65162456783948,-1.4761453047334974,0.7% Calcium copper titanate/Poly(vinyl alcohol)
16.36003691862719,-2.88486006953101,0.7% Calcium copper titanate/Poly(vinyl alcohol)
0.42238862169613034,4.52586740190668,0.93% Calcium copper titanate/Poly(vinyl alcohol)
5.797470393568052,4.041144949413308,0.93% Calcium copper titanate/Poly(vinyl alcohol)
9.77166209194359,3.8100345260795256,0.93% Calcium copper titanate/Poly(vinyl alcohol)
12.052528507317463,3.726093295676726,0.93% Calcium copper titanate/Poly(vinyl alcohol)
12.65162456783948,3.7190031896156293,0.93% Calcium copper titanate/Poly(vinyl alcohol)
16.36003691862719,3.635856607593119,0.93% Calcium copper titanate/Poly(vinyl alcohol)
0.42238862169613034,5.765972636296029,0.82% Calcium copper titanate/Poly(vinyl alcohol)
5.797470393568052,5.059070783767417,0.82% Calcium copper titanate/Poly(vinyl alcohol)
9.77166209194359,4.963017237553462,0.82% Calcium copper titanate/Poly(vinyl alcohol)
12.052528507317463,4.8921900576831785,0.82% Calcium copper titanate/Poly(vinyl alcohol)
12.65162456783948,4.908349515058143,0.82% Calcium copper titanate/Poly(vinyl alcohol)
16.36003691862719,4.8146952716712486,0.82% Calcium copper titanate/Poly(vinyl alcohol)
0.42238862169613034,-4.007910068757095,0.01% Calcium copper titanate/Poly(vinyl alcohol)
5.797470393568052,-2.6974779133140316,0.01% Calcium copper titanate/Poly(vinyl alcohol)
9.77166209194359,-3.233239549890035,0.01% Calcium copper titanate/Poly(vinyl alcohol)
12.052528507317463,1.1602136385583215,0.01% Calcium copper titanate/Poly(vinyl alcohol)
12.65162456783948,3.840465202377482,0.01% Calcium copper titanate/Poly(vinyl alcohol)
16.36003691862719,-10.832315056432783,0.01% Calcium copper titanate/Poly(vinyl alcohol)
