Time (s),Intrinsic Viscosity (dl/g)
6,-7.395495354789218,Cellulose/P(VDF-TrFE-CTFE)
7,-7.414543674578808,Cellulose/P(VDF-TrFE-CTFE)
8,-7.403778982977656,Cellulose/P(VDF-TrFE-CTFE)
9,-7.543779011552771,Cellulose/P(VDF-TrFE-CTFE)
10,-7.586965770476865,Cellulose/P(VDF-TrFE-CTFE)
6,-1.0534652583897117,OFG/P(VDF-TrFE-CTFE)
7,-0.36389778256570615,OFG/P(VDF-TrFE-CTFE)
8,-1.4953937446375163,OFG/P(VDF-TrFE-CTFE)
9,-0.3608942128698076,OFG/P(VDF-TrFE-CTFE)
10,-1.403515872322196,OFG/P(VDF-TrFE-CTFE)
