Particle Density,Dielectric Breakdown Strength (MV/m)
0.49328584891019656,-6.1702513853163845,0.15% silver hexafluoroantimonate
5.364999435012221,-6.777823680601545,0.15% silver hexafluoroantimonate
9.647828716156395,-6.976749748724195,0.15% silver hexafluoroantimonate
14.865662005601724,-7.024490456581933,0.15% silver hexafluoroantimonate
0.49328584891019656,1.0546776027203335,0.6% silver hexafluoroantimonate
5.364999435012221,2.099211611023104,0.6% silver hexafluoroantimonate
9.647828716156395,4.329198413999217,0.6% silver hexafluoroantimonate
14.865662005601724,4.233137751598557,0.6% silver hexafluoroantimonate
0.49328584891019656,-4.407514864560561,0.65% silver hexafluoroantimonate
5.364999435012221,-4.972034981348628,0.65% silver hexafluoroantimonate
9.647828716156395,-5.178724411824559,0.65% silver hexafluoroantimonate
14.865662005601724,-5.2799290498480715,0.65% silver hexafluoroantimonate
0.49328584891019656,6.739756381676273,0.41% silver hexafluoroantimonate
5.364999435012221,5.961457440221769,0.41% silver hexafluoroantimonate
9.647828716156395,5.814864727932204,0.41% silver hexafluoroantimonate
14.865662005601724,5.770237999891326,0.41% silver hexafluoroantimonate
