Specific Heat Capacity (J/(g·K)),X-ray Diffraction Intensity
1,-3.519095415466472,0.81% zirconium dioxide
6,-3.920483854252688,0.81% zirconium dioxide
16,-4.080711236305264,0.81% zirconium dioxide
17,-4.08323063544508,0.81% zirconium dioxide
3,-0.7689452480305539,0.82% zirconium dioxide
7,-1.0841581914589287,0.82% zirconium dioxide
12,-1.1752102823889503,0.82% zirconium dioxide
14,-1.1869298807535489,0.82% zirconium dioxide
5,6.192713049028789,0.32% zirconium dioxide
10,6.049009264504751,0.32% zirconium dioxide
11,6.028063563568128,0.32% zirconium dioxide
18,6.001284359116734,0.32% zirconium dioxide
0,6.940955487071884,0.31% zirconium dioxide
2,7.217073516841879,0.31% zirconium dioxide
4,6.8178453703608906,0.31% zirconium dioxide
13,6.380087373922908,0.31% zirconium dioxide
3,-4.280324826967163,0.9% zirconium dioxide
5,-3.5751904350093904,0.9% zirconium dioxide
6,-1.6868695431204799,0.9% zirconium dioxide
19,424.50838124449683,0.9% zirconium dioxide
