Volume Fraction (%),Poisson’s Ratio
6,0.9285391906650542,graphite/Poly-trifluoroethylene
7,0.8591359007727829,graphite/Poly-trifluoroethylene
10,0.7834531715540491,graphite/Poly-trifluoroethylene
11,0.7662416149217798,graphite/Poly-trifluoroethylene
13,0.7524692419416014,graphite/Poly-trifluoroethylene
15,0.7423217935819674,graphite/Poly-trifluoroethylene
16,0.7401643783321602,graphite/Poly-trifluoroethylene
6,5.359698294559541,Na2TiO3/Poly-trifluoroethylene
7,5.099281791566416,Na2TiO3/Poly-trifluoroethylene
10,5.087655919936588,Na2TiO3/Poly-trifluoroethylene
11,5.028190298253723,Na2TiO3/Poly-trifluoroethylene
13,4.960383044284124,Na2TiO3/Poly-trifluoroethylene
15,4.922317175781777,Na2TiO3/Poly-trifluoroethylene
16,4.892048066487809,Na2TiO3/Poly-trifluoroethylene
