Solvent Concentration (M),Magnetization (A/m)
6.188490142942089,2.377677939144861,Montmorillonite/Nylon 6-6
13.520852560780462,2.2413582999404746,Montmorillonite/Nylon 6-6
13.587682580166799,2.242381240504101,Montmorillonite/Nylon 6-6
13.786594071411873,2.2397795239680125,Montmorillonite/Nylon 6-6
16.214560524788467,2.231560755423358,Montmorillonite/Nylon 6-6
6.188490142942089,6.867467023871089,Graphite oxide/Nylon 6-6
13.520852560780462,9.212311081405836,Graphite oxide/Nylon 6-6
13.587682580166799,10.153680401265778,Graphite oxide/Nylon 6-6
13.786594071411873,13.902095412003723,Graphite oxide/Nylon 6-6
16.214560524788467,0.6355141330723528,Graphite oxide/Nylon 6-6
