Thermal Conductivity (W/(m·K)),Intrinsic Viscosity (dl/g)
0,6.758213293783589,Talcum/Poly(4-vinyl pyridine)
4,6.035568697705467,Talcum/Poly(4-vinyl pyridine)
12,5.713568902218149,Talcum/Poly(4-vinyl pyridine)
15,5.697558072430812,Talcum/Poly(4-vinyl pyridine)
0,6.20376047501101,Reduced graphene oxide/Poly(4-vinyl pyridine)
4,7.429869689320828,Reduced graphene oxide/Poly(4-vinyl pyridine)
12,8.529482354572004,Reduced graphene oxide/Poly(4-vinyl pyridine)
15,13.882819957020127,Reduced graphene oxide/Poly(4-vinyl pyridine)
0,-5.389972473103088,Single-wall carbon nanotubes/Poly(4-vinyl pyridine)
4,-5.902284355964348,Single-wall carbon nanotubes/Poly(4-vinyl pyridine)
12,-6.138712756192754,Single-wall carbon nanotubes/Poly(4-vinyl pyridine)
15,-6.156762947439114,Single-wall carbon nanotubes/Poly(4-vinyl pyridine)
0,7.810451698668784,Channel black/Poly(4-vinyl pyridine)
4,7.741653450946137,Channel black/Poly(4-vinyl pyridine)
12,7.2169485588967754,Channel black/Poly(4-vinyl pyridine)
15,7.129951985590469,Channel black/Poly(4-vinyl pyridine)
