Hardness (HV),Glass Transition Temperature (°C)
1.357567429317359,-0.5574171467833262,dodecylbenzene sulfonic acid/P(VDF-TrFE)
1.5591156145520801,-1.1663339544995137,dodecylbenzene sulfonic acid/P(VDF-TrFE)
4.255341241047919,-1.1209035839772734,dodecylbenzene sulfonic acid/P(VDF-TrFE)
10.487960426775302,-1.3807202873109903,dodecylbenzene sulfonic acid/P(VDF-TrFE)
11.045229522836117,-1.4167866451779887,dodecylbenzene sulfonic acid/P(VDF-TrFE)
1.357567429317359,1.2712124014354602,multi-walled carbon nanotube/P(VDF-TrFE)
1.5591156145520801,2.299121999960914,multi-walled carbon nanotube/P(VDF-TrFE)
4.255341241047919,4.322317431048978,multi-walled carbon nanotube/P(VDF-TrFE)
10.487960426775302,26.675471642650503,multi-walled carbon nanotube/P(VDF-TrFE)
11.045229522836117,21.5414320379552,multi-walled carbon nanotube/P(VDF-TrFE)
1.357567429317359,7.845347028384427,Titanium Dioxide/P(VDF-TrFE)
1.5591156145520801,7.139937450913331,Titanium Dioxide/P(VDF-TrFE)
4.255341241047919,8.138533756010235,Titanium Dioxide/P(VDF-TrFE)
10.487960426775302,8.116078840360093,Titanium Dioxide/P(VDF-TrFE)
11.045229522836117,11.608373434287799,Titanium Dioxide/P(VDF-TrFE)
1.357567429317359,-0.41013792838571517,Bentonite clay/P(VDF-TrFE)
1.5591156145520801,0.06820654694265071,Bentonite clay/P(VDF-TrFE)
4.255341241047919,-0.35310892172684116,Bentonite clay/P(VDF-TrFE)
10.487960426775302,-0.6852939071716652,Bentonite clay/P(VDF-TrFE)
11.045229522836117,-0.7528074210928856,Bentonite clay/P(VDF-TrFE)
1.357567429317359,4.9897614961462455,Paraffinum liquidum/P(VDF-TrFE)
1.5591156145520801,4.688797805871148,Paraffinum liquidum/P(VDF-TrFE)
4.255341241047919,4.454393838308172,Paraffinum liquidum/P(VDF-TrFE)
10.487960426775302,4.202180008110999,Paraffinum liquidum/P(VDF-TrFE)
11.045229522836117,4.198181188696721,Paraffinum liquidum/P(VDF-TrFE)
