Aspect Ratio,Elastic Modulus (GPa)
0.29027323331623833,0.7138066947090888,Aluminium oxide/PLA
3.843853640282753,1.3128682382145473,Aluminium oxide/PLA
11.13414639330962,1.3500929272886728,Aluminium oxide/PLA
13.929313575278838,2.1451055276276314,Aluminium oxide/PLA
18.476967800304074,15.129914820886045,Aluminium oxide/PLA
0.29027323331623833,1.1590335611145677,ZrO2/PLA
3.843853640282753,0.7507266149897602,ZrO2/PLA
11.13414639330962,0.38927599353786646,ZrO2/PLA
13.929313575278838,0.368346710518216,ZrO2/PLA
18.476967800304074,0.3563158592783041,ZrO2/PLA
0.29027323331623833,2.9543896658352504,Gold/PLA
3.843853640282753,4.023169725448256,Gold/PLA
11.13414639330962,46.29364315342591,Gold/PLA
13.929313575278838,122.06763367413257,Gold/PLA
18.476967800304074,48.7485757133127,Gold/PLA
