Nanoparticle Volume (%),Pore Volume (cm³/g)
3,8.109289301423848,
10,7.681683383722532,
11,7.6688429078837395,
14,7.64184389340589,
18,7.633762234709985,
3,-5.278280631990189,
10,-5.527953108911819,
11,-5.546594949077387,
14,-5.613922628835844,
18,-5.720579272060581,
3,-1.9398405275284951,
10,-2.0220325115783737,
11,0.8041669807451326,
14,2.6812851155584116,
18,5.502053310594347,
3,6.09923946912703,
10,22.6944132238236,
11,40.09835350355584,
14,8.853418109233449,
18,69.84883978779429,
3,-7.018099265513186,
10,-7.190641896560718,
11,-7.290307255481397,
14,-7.3410041971972575,
18,-7.426180301444734,
