Calcination Temperature (°C),Magnetic Anisotropy (J/m³)
1,7.031073039747939,silicon dioxide/PCL
2,6.924154902518673,silicon dioxide/PCL
4,6.595456936457414,silicon dioxide/PCL
6,6.462516482306435,silicon dioxide/PCL
11,6.338731395537199,silicon dioxide/PCL
13,6.324397418510404,silicon dioxide/PCL
1,0.893188314305401,Copper(II) phenyl phosphate/PCL
2,0.9737011914833033,Copper(II) phenyl phosphate/PCL
4,0.5245407513710381,Copper(II) phenyl phosphate/PCL
6,0.47839765045393756,Copper(II) phenyl phosphate/PCL
11,0.3133122649472223,Copper(II) phenyl phosphate/PCL
13,0.3004699259728766,Copper(II) phenyl phosphate/PCL
1,8.127374404516228,Channel black/PCL
2,8.045310925336942,Channel black/PCL
4,7.815040532864386,Channel black/PCL
6,7.708999797415326,Channel black/PCL
11,7.582644548180793,Channel black/PCL
13,7.563131424406659,Channel black/PCL
1,4.877320175963682,"Iron(II,III) oxide/PCL"
2,5.003603132790708,"Iron(II,III) oxide/PCL"
4,4.687668590545266,"Iron(II,III) oxide/PCL"
6,4.552210055568335,"Iron(II,III) oxide/PCL"
11,4.399179912288629,"Iron(II,III) oxide/PCL"
13,4.379921906620795,"Iron(II,III) oxide/PCL"
1,0.3877211926279601,Paraffinum liquidum/PCL
2,0.7844136412716463,Paraffinum liquidum/PCL
4,1.0559635979066866,Paraffinum liquidum/PCL
6,2.656757713587837,Paraffinum liquidum/PCL
11,0.8019275167056212,Paraffinum liquidum/PCL
13,0.8740254476394926,Paraffinum liquidum/PCL
