Frequency (Hz),Magnetoresistance
1.6855387781938669,7.3252243145288425,
8.826201023046192,6.776601552038299,
10.989507682441193,6.745598155204579,
11.454508650567028,6.742759903277769,
15.851588250628756,6.719140530955776,
18.706451397062274,6.714035012121438,
1.6855387781938669,2.085039247038357,
8.826201023046192,4.485924114235598,
10.989507682441193,2.943102924219855,
11.454508650567028,2.5134801402860445,
15.851588250628756,10.029987522031034,
18.706451397062274,3.0315727314789758,
1.6855387781938669,-1.96419073747217,
8.826201023046192,17.368035563800575,
10.989507682441193,-3.1440496835702074,
11.454508650567028,16.08707930260738,
15.851588250628756,202.04170462307002,
18.706451397062274,-140.9630732981101,
