Synthesis Time (min),Electrical Resistivity (Ω·m)
1.623048058478449,7.393770847546822,Copper phenylphosphate/PA 6
3.786401038851024,8.359011191325603,Copper phenylphosphate/PA 6
17.194850401511495,4.859544970650915,Copper phenylphosphate/PA 6
1.623048058478449,-3.8899860487479883,silica nanoparticles/PA 6
3.786401038851024,-1.5406732976652497,silica nanoparticles/PA 6
17.194850401511495,334.34375584250785,silica nanoparticles/PA 6
1.623048058478449,0.44938058568909,Lead(II) sulfide/PA 6
3.786401038851024,1.2234853278862934,Lead(II) sulfide/PA 6
17.194850401511495,152.64210412855238,Lead(II) sulfide/PA 6
1.623048058478449,-6.930802770238163,expanded graphite/PA 6
3.786401038851024,-7.246083808275758,expanded graphite/PA 6
17.194850401511495,-7.644403645064746,expanded graphite/PA 6
1.623048058478449,-2.9684139198347896,octyldimethylmethoxysilane/PA 6
3.786401038851024,-3.273292615304805,octyldimethylmethoxysilane/PA 6
17.194850401511495,-3.6908554053214977,octyldimethylmethoxysilane/PA 6
