Stress (Pa),Heat Of Crystallization (J/g)
1.8097606412531064,6.426559119909564,zinc oxide/SBR
5.612056966900623,5.983090665070116,zinc oxide/SBR
12.578413566768665,5.8209381265604305,zinc oxide/SBR
18.459539903565883,5.802788894739783,zinc oxide/SBR
1.8097606412531064,-2.550172378625901,Copper phenylphosphate/SBR
5.612056966900623,2.2385395549689635,Copper phenylphosphate/SBR
12.578413566768665,41.38007227283264,Copper phenylphosphate/SBR
18.459539903565883,-143.96260822384804,Copper phenylphosphate/SBR
1.8097606412531064,8.204760443592564,White mineral oil/SBR
5.612056966900623,13.14895713479116,White mineral oil/SBR
12.578413566768665,55.38733540304473,White mineral oil/SBR
18.459539903565883,158.11528035320094,White mineral oil/SBR
