Surfactant Concentration (M),Electronic Conductivity (S/m)
0,7.654590952323859,Polyimide
3,7.0923495365859255,Polyimide
6,6.8244426714486295,Polyimide
8,6.74231584573001,Polyimide
19,6.667716319067973,Polyimide
0,8.872522942916513,Polyrotaxane
3,9.351505120808813,Polyrotaxane
6,9.028113312244708,Polyrotaxane
8,11.274291753105901,Polyrotaxane
19,4.936974304424215,Polyrotaxane
0,5.3735096060647,PVA
3,6.047328622683322,PVA
6,13.939139572886384,PVA
8,22.51330070864948,PVA
19,-220.28439921232953,PVA
0,-3.109069848971105,PEEK
3,-2.736758002008239,PEEK
6,-2.7855847301345302,PEEK
8,0.33494574756523754,PEEK
19,3.467552599524339,PEEK
0,-3.5168802798694614,PA 6
3,-3.8416259920843956,PA 6
6,-4.209797064245259,PA 6
8,-4.26236288896239,PA 6
19,-4.3582189642936235,PA 6
