Mixing Time (min),Crystallinity (%)
5.785909133204743,8.058533942224503,PDMS
9.353131189645916,15.254991524986961,PDMS
11.787655816913185,23.489185869924775,PDMS
14.18935731050505,41.22788566551969,PDMS
15.286932079091041,38.53646944500801,PDMS
18.927025676087887,27.20327332478901,PDMS
5.785909133204743,-4.0259647921563,PαMS
9.353131189645916,-4.151804189963049,PαMS
11.787655816913185,-4.185945420388819,PαMS
14.18935731050505,-4.199829090728289,PαMS
15.286932079091041,-4.202759419576684,PαMS
18.927025676087887,-4.210339299522337,PαMS
5.785909133204743,-1.4029562439339789,PVC-P
9.353131189645916,3.5337014194947356,PVC-P
11.787655816913185,4.227613953371867,PVC-P
14.18935731050505,4.7785032506194876,PVC-P
15.286932079091041,3.5034080028016783,PVC-P
18.927025676087887,8.083034729602721,PVC-P
5.785909133204743,-3.508545070285091,PBTP
9.353131189645916,-3.7858155666928073,PBTP
11.787655816913185,-3.7885551603977077,PBTP
14.18935731050505,-3.896282706847091,PBTP
15.286932079091041,-3.9075056901510385,PBTP
18.927025676087887,-3.9781181160376624,PBTP
