Drying Temperature (°C),Decomposition Temperature (°C)
6.519434381425753,11.7586069182581,0.55% Graphene oxide
14.184468252123422,104.34845843165039,0.55% Graphene oxide
15.685392743277744,-39.40441968721061,0.55% Graphene oxide
16.01497906113347,89.8297349690381,0.55% Graphene oxide
6.519434381425753,7.949421381205488,0.06% Graphene oxide
14.184468252123422,13.38880889994365,0.06% Graphene oxide
15.685392743277744,15.447351767246657,0.06% Graphene oxide
16.01497906113347,4.430434284881624,0.06% Graphene oxide
6.519434381425753,4.51544132091557,0.54% Graphene oxide
14.184468252123422,4.2974521545877815,0.54% Graphene oxide
15.685392743277744,4.238376356670087,0.54% Graphene oxide
16.01497906113347,4.2292125835345535,0.54% Graphene oxide
6.519434381425753,9.078307220767805,0.81% Graphene oxide
14.184468252123422,15.572748377366851,0.81% Graphene oxide
15.685392743277744,-0.519276247922404,0.81% Graphene oxide
16.01497906113347,5.793788549992775,0.81% Graphene oxide
