Hardness (HV),Coefficient Of Thermal Expansion (1/K)
2,-3.1692062884806225,Poly(alpha-methylstyrene)
3,-3.331476578720168,Poly(alpha-methylstyrene)
6,-3.5895116669945164,Poly(alpha-methylstyrene)
8,-3.6414324633119852,Poly(alpha-methylstyrene)
15,-3.7259825433327745,Poly(alpha-methylstyrene)
2,-1.3669820439963078,PA 66
3,-1.677692474302745,PA 66
6,-1.8802332155216355,PA 66
8,-1.95779251375218,PA 66
15,-2.032583798921907,PA 66
2,3.574341022596043,PA 8
3,3.2604495917139436,PA 8
6,3.1902627581935104,PA 8
8,3.1111744433892716,PA 8
15,3.0333658960301073,PA 8
2,1.0171177928379067,Poly(styrene-b-butadiene)
3,1.0762286487997668,Poly(styrene-b-butadiene)
6,6.696350069009274,Poly(styrene-b-butadiene)
8,13.627967439403395,Poly(styrene-b-butadiene)
15,155.73491842849398,Poly(styrene-b-butadiene)
