Temperature (°C),Electrochemical Potential (V)
7,2.8973408936831078,Polystyrene
9,6.710876669258891,Polystyrene
17,324.0273097610875,Polystyrene
19,558.2068067636292,Polystyrene
7,6.575798669414769,Poly(propylene)
9,6.509939256642579,Poly(propylene)
17,6.452030410979292,Poly(propylene)
19,6.449173953355392,Poly(propylene)
7,12.581865278502807,P2VP
9,23.884095759665946,P2VP
17,502.19451421328955,P2VP
19,565.4804714958582,P2VP
7,-6.549559105083182,PBTP
9,-6.56377425177318,PBTP
17,-6.766285884935126,PBTP
19,-6.814492768204951,PBTP
