Light Intensity (W/m²),Kinematic Viscosity (mm²/s)
12.235005272108179,17.285818438815852,0.28% Al2O3
19.32927945422702,482.4683105639244,0.28% Al2O3
19.864935967011867,945.0843354046601,0.28% Al2O3
0,-1.8908710105073028,0.91% Al2O3
1,-1.0573339999561235,0.91% Al2O3
10,0.02822444704285365,0.91% Al2O3
2,-2.433971861250478,0.18% Al2O3
15,118.62129625132073,0.18% Al2O3
19,-117.18625659441066,0.18% Al2O3
2,7.391946988363857,0.48% Al2O3
6,8.382921106236202,0.48% Al2O3
7,8.31941278121731,0.48% Al2O3
13.511625573858616,-12.388796773580324,0.53% Al2O3
16.160882472945516,95.09624546302788,0.53% Al2O3
19.622178640850464,55.67977609970144,0.53% Al2O3
