Reaction Time (h),Magnetic Permeability (H/m)
6.324435666121819,6.244165908197379,0.83% high abrasion furnace black
8.424204923310064,5.565628181440669,0.83% high abrasion furnace black
8.760731283734353,7.381345309327681,0.83% high abrasion furnace black
12.745296497122672,7.472661418522135,0.83% high abrasion furnace black
17.001354964419853,13.931830677497983,0.83% high abrasion furnace black
0.6708313614910866,7.169942998571803,0.97% high abrasion furnace black
2.961951386747139,7.467412075151332,0.97% high abrasion furnace black
9.649361741336705,7.081981736286025,0.97% high abrasion furnace black
16.30992737399897,6.902258788270265,0.97% high abrasion furnace black
17.012709373773312,6.893453171469481,0.97% high abrasion furnace black
