Loading Concentration (%),Complex Viscosity (Pa·s)
9,1.9483780329656677,
14,1.8985800536689634,
17,1.8885210634530578,
19,1.8856314138612986,
9,3.2607637430380794,
14,3.1476628411934104,
17,3.0629205783259965,
19,3.0364008919045453,
9,16.476981240568357,
14,43.11979647715256,
17,320.1223034022171,
19,-78.49596305838797,
9,3.208320315026718,
14,3.042786291730864,
17,2.993264555468331,
19,2.9532884097966545,
9,-3.9518228914267275,
14,5.800822962294738,
17,-4.723186108178627,
19,-12.013026753933502,
