Time (s),Dielectric Breakdown Strength (MV/m)
0.6576275007672949,8.584575809780949,0.65% silver hexafluoroantimonate
2.906908416624505,8.174568145828951,0.65% silver hexafluoroantimonate
3.347169115997133,8.055134708642669,0.65% silver hexafluoroantimonate
10.529868251064023,7.871729302466833,0.65% silver hexafluoroantimonate
14.01882236599463,7.758960355001551,0.65% silver hexafluoroantimonate
19.147642482954247,7.645392393959983,0.65% silver hexafluoroantimonate
0.6576275007672949,-0.7841686665406176,0.96% silver hexafluoroantimonate
2.906908416624505,-0.22948506946601377,0.96% silver hexafluoroantimonate
3.347169115997133,-0.9567629384655332,0.96% silver hexafluoroantimonate
10.529868251064023,13.992176653481453,0.96% silver hexafluoroantimonate
14.01882236599463,19.453042609535707,0.96% silver hexafluoroantimonate
19.147642482954247,218.5093785999678,0.96% silver hexafluoroantimonate
0.6576275007672949,-3.0802832394024073,0.35% silver hexafluoroantimonate
2.906908416624505,-3.1944841210216524,0.35% silver hexafluoroantimonate
3.347169115997133,-2.93048417170184,0.35% silver hexafluoroantimonate
10.529868251064023,-2.9501775313161227,0.35% silver hexafluoroantimonate
14.01882236599463,1.6241697919869882,0.35% silver hexafluoroantimonate
19.147642482954247,-4.872518126441019,0.35% silver hexafluoroantimonate
0.6576275007672949,2.714016468220856,0.6% silver hexafluoroantimonate
2.906908416624505,2.9162965601406,0.6% silver hexafluoroantimonate
3.347169115997133,3.4347614129883595,0.6% silver hexafluoroantimonate
10.529868251064023,2.358901901997776,0.6% silver hexafluoroantimonate
14.01882236599463,7.49967374594468,0.6% silver hexafluoroantimonate
19.147642482954247,-1.8019684217890504,0.6% silver hexafluoroantimonate
0.6576275007672949,3.6834352529737466,0.39% silver hexafluoroantimonate
2.906908416624505,3.5511884316163265,0.39% silver hexafluoroantimonate
3.347169115997133,3.742398291360666,0.39% silver hexafluoroantimonate
10.529868251064023,3.1684130987344834,0.39% silver hexafluoroantimonate
14.01882236599463,3.060797817790223,0.39% silver hexafluoroantimonate
19.147642482954247,2.970460972570224,0.39% silver hexafluoroantimonate
