Synthesis Temperature (°C),Specific Viscosity
8,4.426046409280189,0.84% barium titanate/PS-I
9,12.51797416880572,0.84% barium titanate/PS-I
12,47.53507000367596,0.84% barium titanate/PS-I
14,0.5706501697090474,0.84% barium titanate/PS-I
15,19.40804206423853,0.84% barium titanate/PS-I
8,7.882148226443355,0.01% barium titanate/PS-I
9,7.854280836536413,0.01% barium titanate/PS-I
12,7.816986415235182,0.01% barium titanate/PS-I
14,7.804941554813409,0.01% barium titanate/PS-I
15,7.799628322813818,0.01% barium titanate/PS-I
8,-4.428550775939182,0.69% barium titanate/PS-I
9,-3.3161324499901177,0.69% barium titanate/PS-I
12,-3.7368928735931286,0.69% barium titanate/PS-I
14,-4.509587580453426,0.69% barium titanate/PS-I
15,-0.7651425429444787,0.69% barium titanate/PS-I
8,10.493089274900528,0.12% barium titanate/PS-I
9,-4.44075450934135,0.12% barium titanate/PS-I
12,6.98758735978987,0.12% barium titanate/PS-I
14,116.68297759293792,0.12% barium titanate/PS-I
15,255.1472856229529,0.12% barium titanate/PS-I
