filler labels,Saturation Magnetization (A/m)
2,-0.6114035048518782,
4,1.2528835482747072,
7,5.238992398002247,
16,177.69791446669728,
2,1.0117474536697957,
4,1.6111459470226521,
7,1.1305645025462305,
16,8.669767092402655,
2,-0.19771350844988222,
4,-0.4376682933560865,
7,-0.6815738245321301,
16,-0.9884717799363756,
2,-2.600846875742485,
4,-1.7315522388300186,
7,4.6098428083430605,
16,145.63890367702402,
2,-5.638543208392336,
4,-5.006533689307911,
7,-5.983953217451155,
16,0.41413363967964845,
