Aspect Ratio,Tensile Strength (MPa)
2.7530720840401424,4.363953968338991,0.2% calcium copper titanate
6.734790605050433,4.223465504247519,0.2% calcium copper titanate
7.4150528315606845,4.188453042810698,0.2% calcium copper titanate
19.821779385115107,3.856602023797433,0.2% calcium copper titanate
2.7530720840401424,7.119386423228739,0.61% calcium copper titanate
6.734790605050433,6.8028771366546525,0.61% calcium copper titanate
7.4150528315606845,6.793601679964875,0.61% calcium copper titanate
19.821779385115107,6.6731500569831885,0.61% calcium copper titanate
2.7530720840401424,-1.5780175225784308,0.25% calcium copper titanate
6.734790605050433,-1.836240556163007,0.25% calcium copper titanate
7.4150528315606845,-1.851279691356908,0.25% calcium copper titanate
19.821779385115107,-1.961842553650764,0.25% calcium copper titanate
2.7530720840401424,0.9593016662675034,0.43% calcium copper titanate
6.734790605050433,1.0865026784834941,0.43% calcium copper titanate
7.4150528315606845,2.819200034072977,0.43% calcium copper titanate
19.821779385115107,-0.7931644299159792,0.43% calcium copper titanate
